chunks|metadata
User Guide   © 2022 Motorola Mobility LLC. All rights reserved.|User Guide   © 2022 Motorola Mobility LLC. All rights reserved.
MOTOROLA, the stylized M logo, MOTO, and the MOTO family of marks are trademarks or registered  trademarks of Motorola Trademark Holdings, LLC. LENOVO is a trademark of Lenovo. Google, Android,  Google Play and other marks are trademarks of Google LLC. Manufactured under license from Dolby  Laboratories. Dolby, Dolby Atmos, and the double-D symbol are registered trademarks of Dolby|MOTOROLA, the stylized M logo, MOTO, and the MOTO family of marks are trademarks or registered  trademarks of Motorola Trademark Holdings, LLC. LENOVO is a trademark of Lenovo. Google, Android,  Google Play and other marks are trademarks of Google LLC. Manufactured under license from Dolby  Laboratories. Dolby, Dolby Atmos, and the double-D symbol are registered trademarks of Dolby
Laboratories Licensing Corporation.|Laboratories Licensing Corporation.
Certain features, services and applications are network dependent and may not be available in all areas;  additional terms, conditions and/or charges may apply. Contact your service provider for details.|Certain features, services and applications are network dependent and may not be available in all areas;  additional terms, conditions and/or charges may apply. Contact your service provider for details.
All features, functionality, and other product specifications, as well as the information contained in this help  content, are based upon the latest available information and believed to be accurate at the time of release.  Motorola reserves the right to change or modify any information or specifications without notice or  obligation.  Some images in help content are examples only.|All features, functionality, and other product specifications, as well as the information contained in this help  content, are based upon the latest available information and believed to be accurate at the time of release.  Motorola reserves the right to change or modify any information or specifications without notice or  obligation.  Some images in help content are examples only.
You can also read this help on your phone at Settings > Help.     motorola edge 30 ultra  Contents  Set up phone  About your hardware Insert or remove SIM card Copy data from old phone Manage dual SIMs Set up voicemail Set up email Make it yours  Learn the basics  About your home screen About your lock screen  New to Android?|You can also read this help on your phone at Settings > Help.     motorola edge 30 ultra  Contents  Set up phone  About your hardware Insert or remove SIM card Copy data from old phone Manage dual SIMs Set up voicemail Set up email Make it yours  Learn the basics  About your home screen About your lock screen  New to Android?
New to Android?  If this is your first smartphone If you had an iPhone About your Google account Status bar icons Phone terms you should know  Get around on your phone  Learn gestures Move between apps and screens  Use quick settings Turn screen off and on  Capture your screen  Take screenshots Record your screen Create GIFs from video  Discover useful tools|New to Android?  If this is your first smartphone If you had an iPhone About your Google account Status bar icons Phone terms you should know  Get around on your phone  Learn gestures Move between apps and screens  Use quick settings Turn screen off and on  Capture your screen  Take screenshots Record your screen Create GIFs from video  Discover useful tools
Discover useful tools  Turn flashlight on and off Control phone with your voice Get directions to a location Use clock and weather widget Manage time spent on your phone  Work with text  Use onscreen keyboard Cut, copy, paste text Use voice typing Fill in forms automatically  Personalize your phone  Home screen  iii                   motorola edge 30 ultra|Discover useful tools  Turn flashlight on and off Control phone with your voice Get directions to a location Use clock and weather widget Manage time spent on your phone  Work with text  Use onscreen keyboard Cut, copy, paste text Use voice typing Fill in forms automatically  Personalize your phone  Home screen  iii                   motorola edge 30 ultra
motorola edge 30 ultra  Change wallpaper Customize your Favorites tray Use widgets, shortcuts, or folders Arrange apps and control icon's look Remove Google feed Remake your home screen with launchers  Lock screen  Use a screen saver  Use apps  Open, close, switch apps View two apps on screen View notifications About preloaded apps  Moto app About the   Focus on gaming|motorola edge 30 ultra  Change wallpaper Customize your Favorites tray Use widgets, shortcuts, or folders Arrange apps and control icon's look Remove Google feed Remake your home screen with launchers  Lock screen  Use a screen saver  Use apps  Open, close, switch apps View two apps on screen View notifications About preloaded apps  Moto app About the   Focus on gaming
Focus on gaming  Get, delete, manage apps  Install or update apps Manage or delete apps Protect against harmful apps  Search and browse  Search the web Search your phone Browse websites  Text messaging  About text and multimedia messages Read, send messages Manage, delete messages Change default messaging app Change text message reply to incoming calls Get text messages on your computer  Email|Focus on gaming  Get, delete, manage apps  Install or update apps Manage or delete apps Protect against harmful apps  Search and browse  Search the web Search your phone Browse websites  Text messaging  About text and multimedia messages Read, send messages Manage, delete messages Change default messaging app Change text message reply to incoming calls Get text messages on your computer  Email
Email  Read, send, manage emails View email attachments Preview inboxes from home screen Add email signature Control email notifications  Calendar app  About the calendar Find calendar events Create and manage events Control notifications for calendar events  iv                   motorola edge 30 ultra  Clock app  Set alarms Use timer or stopwatch Set date and time  Photos app|Email  Read, send, manage emails View email attachments Preview inboxes from home screen Add email signature Control email notifications  Calendar app  About the calendar Find calendar events Create and manage events Control notifications for calendar events  iv                   motorola edge 30 ultra  Clock app  Set alarms Use timer or stopwatch Set date and time  Photos app
Photos app  Share photos and videos Upload photos and videos  Contacts, calls, voicemail  Contacts  Add contacts Edit or delete contacts Star your favorite contacts Sort contacts Share contacts  Phone calls|Photos app  Share photos and videos Upload photos and videos  Contacts, calls, voicemail  Contacts  Add contacts Edit or delete contacts Star your favorite contacts Sort contacts Share contacts  Phone calls
